Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
England,2018,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2018,F10,0,0,0,0,0,0,4,14,20,37,58,95,79,65,75,56,36,19,8,3
England,2018,G31.2,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,1,0,0,0
England,2018,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2018,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2018,I42.6,0,0,0,0,0,0,0,4,2,12,10,14,12,10,13,10,2,1,1,0
England,2018,K29.2,0,0,0,0,0,0,0,0,1,1,1,4,2,4,3,0,0,0,0,0
England,2018,K70,0,0,0,0,0,1,28,93,194,326,572,721,732,661,527,388,176,69,19,6
England,2018,K85.2,0,0,0,0,0,0,2,2,9,12,9,11,7,10,17,2,1,1,0,0
England,2018,K86.0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,2,0,0,0,0
England,2018,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2018,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2018,X45,0,0,0,0,2,11,12,24,31,56,63,62,46,35,27,14,5,3,1,0
England,2018,X65,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
England,2018,Y15,0,0,0,0,0,0,0,2,1,0,2,1,1,1,0,0,0,0,0,0
England,2017,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2017,F10,0,0,0,0,0,1,5,12,18,45,73,70,65,67,69,52,34,17,11,5
England,2017,G31.2,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,1,1,0,0,0
England,2017,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2017,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
England,2017,I42.6,0,0,0,0,0,0,0,1,3,6,10,18,25,15,16,11,6,1,0,0
England,2017,K29.2,0,0,0,0,0,0,1,1,1,4,1,0,3,1,0,1,1,2,0,0
England,2017,K70,0,0,0,0,0,4,31,102,207,386,620,718,761,676,565,342,191,67,20,4
England,2017,K85.2,0,0,0,0,0,0,0,3,5,9,17,14,12,5,7,3,2,2,1,0
England,2017,K86.0,0,0,0,0,0,0,0,0,1,0,1,5,3,0,3,1,0,0,1,0
England,2017,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2017,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2017,X45,0,0,0,0,1,4,15,22,37,47,66,58,42,26,27,12,6,4,0,0
England,2017,X65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
England,2017,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
England,2016,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2016,F10,0,0,0,0,0,1,4,12,24,31,59,63,65,64,60,37,19,17,7,3
England,2016,G31.2,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,0
England,2016,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2016,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2016,I42.6,0,0,0,0,0,0,0,0,3,13,11,11,16,14,15,10,2,3,1,0
England,2016,K29.2,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,0,0,0,0,0
England,2016,K70,0,0,0,0,0,3,29,111,188,351,604,723,702,645,563,311,173,78,24,1
England,2016,K85.2,0,0,0,0,0,0,3,7,7,12,10,10,11,1,3,6,4,1,1,0
England,2016,K86.0,0,0,0,0,0,0,0,0,0,2,0,3,1,5,0,0,0,0,1,0
England,2016,Q86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2016,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2016,X45,0,0,0,0,0,7,10,30,24,55,46,58,33,28,20,8,2,1,0,0
England,2016,X65,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
England,2016,Y15,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
England,2015,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2015,F10,0,0,0,0,0,0,4,10,16,30,52,60,61,41,45,39,24,14,6,3
England,2015,G31.2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,1,0,0
England,2015,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2015,G72.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
England,2015,I42.6,0,0,0,0,0,0,0,1,4,5,7,13,11,13,13,4,0,4,1,0
England,2015,K29.2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,0,0,0
England,2015,K70,0,0,0,0,0,4,19,89,222,376,584,682,702,638,564,291,146,67,23,4
England,2015,K85.2,0,0,0,0,0,0,1,2,2,8,11,10,11,5,8,5,4,1,0,0
England,2015,K86.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,0,0
England,2015,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2015,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2015,X45,0,0,0,0,0,2,13,23,24,45,57,40,43,34,19,8,5,0,0,0
England,2015,X65,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
England,2015,Y15,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
England,2014,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2014,F10,0,0,0,0,0,1,4,10,32,34,66,70,61,51,67,44,17,18,10,4
England,2014,G31.2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,5,2,0,1,0,0
England,2014,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2014,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2014,I42.6,0,0,0,0,0,0,0,1,7,13,10,13,11,10,7,7,2,2,1,0
England,2014,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
England,2014,K70,0,0,0,0,0,5,24,105,204,373,595,696,659,647,526,269,145,58,21,6
England,2014,K85.2,0,0,0,0,0,0,0,3,10,13,17,11,10,9,6,1,0,0,0,0
England,2014,K86.0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,1,0,0,0,0
England,2014,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2014,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2014,X45,0,0,0,0,2,2,15,21,28,43,81,57,58,32,17,8,4,1,0,0
England,2014,X65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
England,2014,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,F10,0,0,0,0,0,0,5,12,19,46,55,71,57,50,47,35,27,21,3,2
England,2013,G31.2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,1,0
England,2013,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,I42.6,0,0,0,0,0,0,0,1,5,11,13,15,15,20,10,12,2,2,1,0
England,2013,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
England,2013,K70,0,0,0,0,0,2,30,80,207,407,576,657,687,663,487,195,123,53,19,4
England,2013,K85.2,0,0,0,0,0,1,1,3,8,1,4,6,9,0,1,3,2,0,0,1
England,2013,K86.0,0,0,0,0,0,0,0,0,1,2,5,0,1,1,0,0,0,1,0,0
England,2013,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2013,X45,0,0,0,0,2,5,9,30,52,59,57,49,44,22,22,6,2,0,0,1
England,2013,X65,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,1,0
England,2013,Y15,0,0,0,0,0,0,0,2,1,0,2,0,0,1,1,0,0,0,0,0
England,2012,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2012,F10,0,0,0,0,0,0,1,13,29,44,61,46,63,52,61,23,22,17,5,5
England,2012,G31.2,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,0,0
England,2012,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2012,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2012,I42.6,0,0,0,0,0,0,0,2,6,6,18,13,8,14,17,9,1,1,0,0
England,2012,K29.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
England,2012,K70,0,0,0,0,0,4,38,93,164,399,566,628,652,587,491,221,151,59,24,3
England,2012,K85.2,0,0,0,0,0,0,0,0,3,6,6,3,3,4,2,1,2,0,0,1
England,2012,K86.0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,1,1,0,0,0
England,2012,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2012,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2012,X45,0,0,0,0,0,5,8,33,44,57,74,55,42,21,16,7,2,3,0,0
England,2012,X65,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0
England,2012,Y15,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0
England,2011,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2011,F10,0,0,0,0,0,0,6,15,22,41,52,57,48,69,44,38,11,14,7,3
England,2011,G31.2,0,0,0,0,0,0,0,0,1,1,0,3,0,4,2,1,1,0,0,0
England,2011,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
England,2011,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
England,2011,I42.6,0,0,0,0,0,0,0,1,2,8,13,17,24,15,7,6,7,5,1,0
England,2011,K29.2,0,0,0,0,0,0,0,1,0,4,1,0,0,2,0,0,1,0,0,0
England,2011,K70,0,0,0,0,0,6,45,121,244,471,605,693,695,662,429,258,138,52,18,8
England,2011,K85.2,0,0,0,0,0,0,1,2,3,7,9,4,6,8,4,1,1,1,0,0
England,2011,K86.0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0
England,2011,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2011,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2011,X45,0,0,0,0,1,6,16,23,32,61,72,53,42,24,18,9,1,2,0,0
England,2011,X65,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
England,2011,Y15,0,0,0,0,0,0,0,2,0,2,3,2,2,2,1,0,1,0,0,0
England,2010,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,F10,0,0,0,0,1,9,8,23,45,88,84,75,100,84,47,32,13,10,6,3
England,2010,G31.2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
England,2010,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,I42.6,0,0,0,0,0,0,1,3,2,7,11,11,11,9,10,4,0,2,2,0
England,2010,K29.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
England,2010,K70,0,0,0,0,0,4,36,119,243,453,604,652,688,641,431,212,120,52,20,3
England,2010,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,K86.0,0,0,0,0,0,0,2,4,10,6,13,4,4,5,1,3,2,0,0,0
England,2010,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2010,X45,0,0,0,0,4,0,5,14,23,22,34,25,17,17,6,2,4,0,0,0
England,2010,X65,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
England,2010,Y15,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0
England,2009,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,F10,0,0,0,0,2,4,14,22,54,81,77,81,89,73,45,19,20,10,4,1
England,2009,G31.2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,0,0
England,2009,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,I42.6,0,0,0,0,0,1,1,3,4,12,10,11,15,17,12,4,4,2,2,0
England,2009,K29.2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
England,2009,K70,0,0,0,0,1,8,41,113,236,476,602,630,638,625,377,199,138,46,26,2
England,2009,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,K86.0,0,0,0,0,0,0,1,2,4,5,7,7,6,5,0,2,1,1,0,0
England,2009,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2009,X45,0,0,0,0,0,1,8,12,23,29,28,26,17,16,4,2,1,0,0,1
England,2009,X65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
England,2009,Y15,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0
England,2008,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,F10,0,0,0,0,2,7,8,29,59,72,95,98,81,71,48,35,22,8,2,3
England,2008,G31.2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0
England,2008,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,I42.6,0,0,0,0,0,0,1,2,4,4,12,10,9,12,11,5,6,2,2,0
England,2008,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
England,2008,K70,0,0,0,0,0,6,34,118,241,469,581,750,729,645,392,255,120,39,20,3
England,2008,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,K86.0,0,0,0,0,0,0,2,5,8,5,5,6,4,3,7,3,0,0,0,0
England,2008,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2008,X45,0,0,0,0,1,8,5,13,22,21,29,22,11,12,4,4,1,0,1,0
England,2008,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
England,2008,Y15,0,0,0,0,0,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0
England,2007,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2007,F10,0,0,0,0,0,3,16,29,32,61,54,84,63,60,45,11,7,15,5,1
England,2007,G31.2,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,0,0,1,0
England,2007,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
England,2007,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
England,2007,I42.6,0,0,0,0,0,0,0,0,10,5,5,13,17,10,7,3,3,2,1,0
England,2007,K29.2,0,0,0,0,0,0,0,1,1,1,1,3,2,0,0,0,0,0,0,0
England,2007,K70,1,0,0,0,0,5,38,85,215,457,599,700,699,635,392,227,121,62,19,2
England,2007,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2007,K86.0,0,0,0,0,0,1,0,3,6,10,4,6,7,6,2,0,0,1,2,0
England,2007,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2007,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2007,X45,0,0,0,0,0,3,4,17,23,31,24,18,16,12,5,3,0,0,0,1
England,2007,X65,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
England,2007,Y15,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0
England,2006,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,F10,0,0,0,0,2,2,12,16,39,68,72,57,97,53,39,20,16,7,5,2
England,2006,G31.2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,0
England,2006,G62.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
England,2006,G72.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
England,2006,I42.6,0,0,0,0,0,0,2,1,6,6,10,15,12,13,8,8,2,0,0,0
England,2006,K29.2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
England,2006,K70,0,0,0,0,0,5,40,89,267,453,615,668,679,545,372,223,131,56,14,2
England,2006,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,K86.0,0,0,0,0,0,0,1,3,2,3,7,9,6,4,3,1,0,1,1,0
England,2006,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,X45,0,0,0,0,1,3,7,9,14,29,31,21,14,10,8,2,1,0,0,0
England,2006,X65,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
England,2006,Y15,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
England,2005,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,F10,0,0,0,0,2,5,9,34,40,58,86,87,78,64,26,22,15,5,7,1
England,2005,G31.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0
England,2005,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
England,2005,I42.6,0,0,0,0,0,0,0,2,2,10,9,11,9,13,4,5,4,5,1,0
England,2005,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
England,2005,K70,0,0,0,0,1,8,20,82,215,376,594,662,668,499,344,215,110,61,23,6
England,2005,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,K86.0,0,0,0,0,1,0,0,4,5,3,10,10,9,4,3,2,1,0,0,0
England,2005,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,X45,0,0,0,0,3,4,10,10,28,26,20,21,12,10,6,1,0,0,0,0
England,2005,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
England,2005,Y15,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0
England,2004,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,F10,0,0,0,0,0,6,8,20,47,61,74,65,58,44,29,24,12,7,5,1
England,2004,G31.2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,3,0,2,0,0,0
England,2004,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
