Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Northern Ireland,2017,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,F10,0,0,0,0,0,0,0,1,4,0,10,7,14,12,11,6,4,1,0,0
Northern Ireland,2017,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Northern Ireland,2017,I42.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Northern Ireland,2017,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Northern Ireland,2017,K70,0,0,0,0,0,0,1,6,11,15,27,36,36,27,15,8,7,1,1,0
Northern Ireland,2017,K85.2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
Northern Ireland,2017,K86.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,X45,0,0,0,0,0,0,0,1,0,4,6,6,3,0,0,1,0,0,0,0
Northern Ireland,2017,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2017,Y15,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0
Northern Ireland,2016,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,F10,0,0,0,0,0,0,1,1,1,1,10,7,14,4,4,4,1,1,1,1
Northern Ireland,2016,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Ireland,2016,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,I42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Northern Ireland,2016,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Ireland,2016,K70,0,0,0,0,0,1,3,3,8,18,32,34,40,29,20,12,7,1,0,0
Northern Ireland,2016,K85.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
Northern Ireland,2016,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,X45,0,0,0,0,0,0,1,0,1,1,0,3,0,4,0,1,1,0,0,0
Northern Ireland,2016,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2016,Y15,0,0,0,0,0,0,1,0,0,0,1,2,0,2,3,1,0,0,0,0
Northern Ireland,2015,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,F10,0,0,0,0,0,0,0,0,3,4,3,7,12,6,6,1,3,0,0,0
Northern Ireland,2015,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Northern Ireland,2015,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
