Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Scotland,2018,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2018,F10,0,0,0,0,1,0,0,4,14,17,24,45,57,50,38,35,20,8,5,2
Scotland,2018,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Scotland,2018,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2018,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2018,I42.6,0,0,0,0,0,0,0,0,0,3,1,2,1,2,4,3,1,1,0,0
Scotland,2018,K29.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
Scotland,2018,K70,0,0,0,0,0,0,3,11,20,45,73,92,132,95,100,80,33,17,5,2
Scotland,2018,K85.2,0,0,0,0,0,0,0,0,1,2,1,1,3,1,3,2,2,0,1,0
Scotland,2018,K86.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0
Scotland,2018,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2018,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2018,X45,0,0,0,0,0,3,1,0,9,4,12,6,13,8,3,0,0,0,0,0
Scotland,2018,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Scotland,2018,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Scotland,2017,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,F10,0,0,0,0,0,0,2,6,8,15,25,36,40,34,43,30,26,9,2,1
Scotland,2017,G31.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Scotland,2017,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,I42.6,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,1,0,0,0,0
Scotland,2017,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,2,1,0,0,0
Scotland,2017,K70,0,0,0,0,0,0,4,14,22,32,84,112,133,106,127,59,29,14,2,0
Scotland,2017,K85.2,0,0,0,0,0,0,0,0,1,0,2,1,2,3,2,1,0,1,0,0
Scotland,2017,K86.0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
Scotland,2017,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,X45,0,0,0,0,0,0,4,4,6,5,12,7,8,11,4,3,0,0,0,0
Scotland,2017,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2017,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2016,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2016,F10,0,0,0,0,0,0,1,5,5,20,34,45,45,45,54,24,23,14,6,0
Scotland,2016,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Scotland,2016,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
