Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Wales,2018,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,F10,0,0,0,0,0,0,1,0,2,3,5,6,5,2,6,1,2,0,1,1
Wales,2018,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Wales,2018,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,I42.6,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0
Wales,2018,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,K70,0,0,0,0,0,1,5,3,14,24,31,50,76,50,39,26,9,7,1,0
Wales,2018,K85.2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Wales,2018,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wales,2018,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2018,X45,0,0,0,0,0,0,0,2,3,2,4,7,2,0,1,1,0,0,0,0
Wales,2018,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wales,2018,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,F10,0,0,0,0,0,0,1,1,1,2,2,6,4,3,4,4,4,2,0,0
Wales,2017,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,I42.6,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,1,0,0
Wales,2017,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,K70,0,0,0,0,0,0,2,7,10,21,39,61,57,62,39,34,10,6,3,0
Wales,2017,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2017,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
